Unnamed: 0,DayOfYear,Month,Date,Temperature (°C),Humidity (%),DewPoint,Precipitation (mm),Dengue
Jan,4,Jan,4,26.9,66,20,0,27.571428571428573
2014,5,Jan,5,26.1,71.5,20.6,0,27.571428571428573
,6,Jan,6,26.6,77.3,22.4,0,27.571428571428573
,7,Jan,7,26.5,83.8,23.3,0,27.571428571428573
,8,Jan,8,27.6,78.8,23.3,0,27.571428571428573
,9,Jan,9,28.2,76.8,23.3,0,27.571428571428573
,10,Jan,10,26.4,80.9,22.7,0,27.571428571428573
,11,Jan,11,26.7,78.7,22.6,0,42.714285714285715
,12,Jan,12,25.4,83.5,22.6,0,42.714285714285715
,13,Jan,13,26.9,77,22.1,0,42.714285714285715
,14,Jan,14,27,67.8,23.1,0,42.714285714285715
,15,Jan,15,25.9,87,23.3,0,42.714285714285715
,16,Jan,16,25.4,87.8,22.9,0,42.714285714285715
,17,Jan,17,27.1,70.5,21.1,0,42.714285714285715
,18,Jan,18,26.4,75.7,21.9,0,28.571428571428573
,19,Jan,19,26.6,71.6,20.8,0,28.571428571428573
,20,Jan,20,27.1,68.9,20.8,0,28.571428571428573
,21,Jan,21,27.8,66.9,21,0,28.571428571428573
,22,Jan,22,27.5,72.5,22.1,0,28.571428571428573
,23,Jan,23,27.8,77.4,23,0,28.571428571428573
,24,Jan,24,27,73.1,21.8,0,28.571428571428573
,25,Jan,25,27.4,63.9,19.4,0,20.285714285714285
,26,Jan,26,26.9,63.9,19.1,0,20.285714285714285
,27,Jan,27,27,63.4,19.4,0,20.285714285714285
,28,Jan,28,27.1,67.8,20.3,0,20.285714285714285
,29,Jan,29,27.3,71.9,21.4,0,20.285714285714285
,30,Jan,30,27.9,71.5,22,0,20.285714285714285
,31,Jan,31,28.1,72.1,22.4,0,20.285714285714285
Feb,32,Feb,1,28.3,72.3,22.6,0,16.857142857142858
,33,Feb,2,28.9,68.3,21.6,0,16.857142857142858
,34,Feb,3,27.9,69.1,21,0,16.857142857142858
,35,Feb,4,26.9,68.8,20.6,0,16.857142857142858
,36,Feb,5,26.1,77,21.9,0,16.857142857142858
,37,Feb,6,26.3,77.8,21.9,0,16.857142857142858
,38,Feb,7,26.3,70.1,20.4,0,16.857142857142858
,39,Feb,8,26.4,65.3,19.6,0,20.428571428571427
,40,Feb,9,26.5,71.1,20.8,0,20.428571428571427
,41,Feb,10,25.6,73.1,20.3,0,20.428571428571427
,42,Feb,11,25.8,72.3,20.1,0,20.428571428571427
,43,Feb,12,26.5,72.8,20.8,0,20.428571428571427
,44,Feb,13,26.5,76.1,21.9,0,20.428571428571427
,45,Feb,14,27.6,77.3,22.8,0,20.428571428571427
,46,Feb,15,27.6,75.4,22.7,0,26.0
,47,Feb,16,27.4,76.9,22.9,0,26.0
,48,Feb,17,27.9,75.1,22.5,0,26.0
,49,Feb,18,27.9,77.8,23.5,0,26.0
,50,Feb,19,28.1,73.3,22.8,0,26.0
,51,Feb,20,27.4,82.9,23.9,0,26.0
,52,Feb,21,27,76.8,22.4,0,26.0
,53,Feb,22,27.9,75,22.9,0,19.428571428571427
,54,Feb,23,26.1,81.6,22.6,0,19.428571428571427
,55,Feb,24,28,76.4,23.1,0,19.428571428571427
,56,Feb,25,28.5,73.5,22.9,0,19.428571428571427
,57,Feb,26,28.1,70.3,21.9,0,19.428571428571427
,58,Feb,27,27.9,75.5,22.8,0,19.428571428571427
,59,Feb,28,28.3,76.5,23.4,0,19.428571428571427
Mar,60,Mar,1,28.9,71.9,23.1,0,20.571428571428573
,61,Mar,2,28.5,74,23.3,0,20.571428571428573
,62,Mar,3,28.8,71.8,22.8,0,20.571428571428573
,63,Mar,4,28.5,76.5,23.5,0,20.571428571428573
,64,Mar,5,27.6,79.5,23.4,0,20.571428571428573
,65,Mar,6,27.9,74.5,22.5,0,20.571428571428573
,66,Mar,7,27.1,75.6,22.3,0,20.571428571428573
